DATE,PERSON_NUMBER
2022-04-06 13:28:00,4
2022-04-06 13:37:00,5
2022-04-06 13:39:00,4
2022-04-06 14:02:00,3
2022-04-06 14:15:00,2
2022-04-06 14:25:00,3
2022-04-06 14:32:00,2
2022-04-06 14:40:00,3
2022-04-06 15:00:00,2
2022-04-06 15:21:00,3
2022-04-06 15:33:00,2
2022-04-06 15:35:00,3
2022-04-06 15:37:00,2
2022-04-06 15:38:00,1
2022-04-06 15:41:00,2
2022-04-06 15:52:00,1
2022-04-06 15:59:00,2
2022-04-06 16:18:00,3
2022-04-06 17:22:00,2
2022-04-06 17:22:00,3
2022-04-06 17:22:00,2
2022-04-06 17:34:00,3
2022-04-06 18:26:00,2
2022-04-06 18:35:00,1
2022-04-06 18:39:00,2
2022-04-06 18:39:00,1
2022-04-06 18:41:00,2
2022-04-06 18:56:00,3
2022-04-06 18:56:00,2
2022-04-06 19:04:00,3
2022-04-06 20:58:00,2
2022-04-06 21:10:00,3
2022-04-06 21:22:00,2
2022-04-06 22:30:00,1
2022-04-07 00:05:00,0
2022-04-07 00:14:00,1
2022-04-07 01:13:00,0
2022-04-07 01:23:00,1
2022-04-07 05:46:00,0
2022-04-07 08:55:00,1
2022-04-07 09:30:00,2
2022-04-07 11:05:00,1
2022-04-07 11:07:00,2
2022-04-07 11:35:00,1
2022-04-07 11:40:00,2
2022-04-07 11:49:00,3
2022-04-07 11:50:00,2
2022-04-07 11:50:00,1
2022-04-07 11:51:00,0
2022-04-07 13:08:00,1
2022-04-07 13:08:00,2
2022-04-07 13:08:00,3
2022-04-07 13:08:00,4
